country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,9.06,9.2,9.33,9.62,9.56,9.61,9.67,9.75,9.81,9.82,9.77,9.84,10.1,9.98,10.4,10.6,10.9,10.9,11,10.7,10.3,10.1,9.9,9.73,9.53,9.51,9.5,9.72,10
Angola,52.2,51.5,51,50.7,51.4,52,52.7,53.7,53,53.3,54.1,54.2,54.2,53.9,52.2,50.7,49.2,47.5,46,43.4,40.9,40.5,40.5,40.8,41.2,41.5,41.8,42,42.3
Albania,27.1,28,28.5,29,29.6,28.4,28.1,28.5,28.7,29.4,30,30.8,31.7,32.2,32.6,33.3,33.9,34.3,32.5,36.3,34.2,32.4,36.6,38.4,38.3,39.9,42.4,42.1,42.1
United Arab Emirates,85.6,85.7,85.9,86,86.2,86.2,86.1,86.2,86.3,86.3,87.2,88.1,88.9,89.6,90.4,91,91.6,92.1,92.5,93,93.3,93.6,93.7,93.8,93.9,94.1,94.3,94.5,94.6
Argentina,79.9,80.6,83.4,85.1,84.5,87.2,88.1,89,88.9,89.4,89.2,90.1,87.8,88.2,88.6,88.8,89.1,89.4,89.9,90.2,89.7,90.2,90.8,91.5,91.3,91.1,90.8,90.8,90.8
Armenia,40.8,41.1,41.4,41.4,41.6,41.8,42.1,42.5,43,43.4,44.1,44.8,45.5,46.2,46.9,47.7,48.3,48.6,48.9,46.9,48,48.5,48.8,51.4,52.4,55.2,56.3,60.4,61.7
Australia,84.1,84.7,84.5,84.9,85.3,85.7,85.9,86.4,86.6,86.3,87,87.4,87.8,88,88.2,88.6,88.9,88.5,88.9,89.1,89.6,89.7,90,90.1,90.5,90.4,90.7,90.2,90.8
Austria,72.9,73.4,74.2,74.8,74.3,75.8,77.7,78.5,79,79.5,79.9,81,81.2,81.8,81.8,81.3,81.4,82.5,83.4,83.5,82.9,83.1,82.8,82.7,83.7,84.1,84.9,84.9,85.1
Azerbaijan,44.5,44.1,44.8,44.9,43.7,44.1,44.2,44.7,44.4,46.3,50,53.2,53.4,53.7,54,52.6,54.3,53.3,50.3,49.4,49.9,49.9,50.5,51.2,52.1,51.9,51.8,52.1,52.3
Burundi,2.38,2.41,2.41,2.41,2.42,2.48,2.52,2.55,2.62,2.68,2.79,2.95,2.98,3.38,3.37,3.56,3.62,3.87,4.04,4.28,4.47,4.67,4.99,5.22,5.17,5.19,5.2,5.31,5.43
Belgium,81.6,82,83.9,83.6,84.3,84.6,84.7,85.7,86.5,87.1,87.3,86.4,87.4,87.6,87.2,88,87.7,88.7,89.3,89,89.4,90.7,90.6,90.8,90.9,91.1,90.7,90.8,91
Benin,34.9,35.1,35.4,35,35.5,35.9,36.4,36.9,37.5,38.2,39,39.8,40.4,41.3,41.8,42.6,43.6,44.5,45.1,45.7,46.6,47.5,48.5,49.5,50.1,51.2,52.1,53.1,54.1
Burkina Faso,8.22,8.35,8.59,8.89,9.78,11,12,13.4,14.7,16,17.8,19.5,21.6,23.5,26.2,28.5,30.6,33.5,35.5,38.3,40.5,42.7,44.4,45.7,47.3,49.1,50.8,52.4,53.4
Bangladesh,1.61,2.35,3.43,5.02,7.23,10.3,11,11.6,12.2,12.6,13.5,14.5,15.6,16.7,17.9,19.3,19.7,20.2,20.8,21.4,21.1,20.8,20.7,20.6,20.6,20.7,23.4,24.2,24.8
Bulgaria,46.2,47.8,49.6,51.4,53.2,54.8,57.2,58.5,60.5,62.1,64,63.1,63.7,63.2,64.3,65.9,65.9,65.6,67.8,70.7,71.3,70.6,71.7,72.2,72.9,73.4,72.9,73.4,73.5
Bahrain,92.5,92.1,91.5,91,90.3,89.8,89.2,88.5,87.8,87.1,86.4,87.4,88.3,89.1,89.7,90.1,90.5,90.7,91,90.9,91,91,90.9,90.8,90.8,90.9,91,91.2,91.4
Bahamas,93.4,93.5,93.8,93.1,93.6,93.1,92.2,93.5,93.6,93.1,92.5,94.1,93.9,94.5,94.6,94.5,94.4,95.1,95.9,95.9,96.1,96.2,96.3,96.4,96.6,96.7,96.7,96.7,96.8
Bosnia and Herzegovina,44.3,44.6,45.4,46.7,48.3,50.4,51.4,52.5,53.4,54,55.3,56.6,57.5,58.6,59.4,60.2,60.6,59.2,57.8,60.9,62.7,60.6,64.5,66.3,65.2,64.3,65,66,62.7
