,country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Aruba,0,0.0,0.0,0.0,0,2.77,,,4.51,15.4,17.1,18.8,20.8,23.0,25.4,28.0,30.9,52.0,58.0,62.0,69.0,74.0,78.9,83.8,88.7,93.5,97.2,,,
1,Afghanistan,0,0.0,0.0,0.0,0,,,,,,0.00472,0.00456,0.0879,0.106,1.22,2.11,1.9,1.84,3.55,4.0,5.0,5.45,5.9,7.0,8.26,11.0,13.5,16.8,17.6,18.4
2,Angola,0,0.0,0.0,0.0,0,0.00078,0.00567,0.0185,0.072,0.105,0.136,0.27,0.371,0.465,1.14,1.5,1.7,1.9,2.3,2.8,4.7,7.7,13.0,21.4,22.0,23.2,26.0,29.0,32.4,36.0
3,Albania,0,0.0,0.0,0.0,0.0112,0.0322,0.0486,0.065,0.0814,0.114,0.326,0.39,0.972,2.42,6.04,9.61,15.0,23.9,41.2,45.0,47.0,49.4,51.8,54.3,56.9,59.6,62.4,65.4,68.6,72.2
4,Andorra,0,0.0,0.0,0.0,0,1.53,3.05,6.89,7.64,10.5,,11.3,13.5,26.8,37.6,48.9,70.9,70.0,78.5,81.0,81.0,82.7,84.4,86.1,87.9,89.7,91.6,,,
5,United Arab Emirates,0,0.0,0.0,0.0,0.103,0.375,3.3,6.91,14.9,23.6,26.3,28.3,29.5,30.1,40.0,52.0,61.0,63.0,64.0,68.0,78.0,85.0,88.0,90.4,90.5,90.6,94.8,98.5,99.2,100.0
6,Argentina,0,0.00299,0.0295,0.0437,0.0863,0.142,0.28,0.831,3.28,7.04,9.78,10.9,11.9,16.0,17.7,20.9,25.9,28.1,34.0,45.0,51.0,55.8,59.9,64.7,68.0,71.0,74.3,77.7,79.9,85.5
7,Armenia,0,0.0,0.0,0.00912,0.0527,0.0946,0.112,0.129,0.971,1.3,1.63,1.96,4.58,4.9,5.25,5.63,6.02,6.21,15.3,25.0,32.0,37.5,41.9,54.6,59.1,64.3,64.7,68.2,66.5,76.5
8,American Samoa,0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,
9,Antigua and Barbuda,0,0.0,0.0,0.0,2.2,2.86,3.48,4.07,5.3,6.48,8.9,12.5,17.2,24.3,27.0,30.0,34.0,38.0,42.0,47.0,52.0,58.0,63.4,67.8,70.0,73.0,,,,
10,Australia,1.1,1.77,1.97,2.23,2.76,3.28,16.4,30.8,40.8,46.8,52.7,,,,63.0,66.0,69.5,71.7,74.3,76.0,79.5,79.0,83.5,84.0,84.6,86.5,86.5,87.6,88.6,89.6
11,Austria,0.259,0.643,0.765,1.39,1.89,6.91,9.53,15.4,23.0,33.7,39.2,36.6,42.7,54.3,58.0,63.6,69.4,72.9,73.5,75.2,78.7,80.0,80.6,81.0,83.9,84.3,87.9,87.5,87.8,87.5
12,Azerbaijan,0,0.0,0.0,0.00143,0.00206,0.00635,0.0252,0.0375,0.0992,0.148,0.306,5.0,,,8.03,12.0,14.5,17.1,27.4,46.0,50.0,54.2,73.0,75.0,77.0,78.2,79.0,79.8,81.1,84.6
13,Burundi,0,0.0,0.0,0.0,0,0.0008,0.00798,0.0158,0.0392,0.0772,0.106,0.118,0.201,0.349,0.542,0.658,0.7,0.81,0.9,1.0,1.11,1.22,1.26,1.4,2.0,2.2,2.66,4.1,6.2,9.4
14,Belgium,0.0201,0.1,0.199,0.696,0.992,2.97,4.94,7.89,13.8,29.4,31.3,46.3,50.0,53.9,55.8,59.7,64.4,66.0,70.0,75.0,81.6,80.7,82.2,85.0,85.1,86.5,87.7,88.6,90.3,91.5
15,Benin,0,0.0,0.0,0.0,0,0.00169,0.0246,0.0479,0.155,0.225,0.363,0.703,0.951,1.18,1.27,1.54,1.79,1.85,2.24,3.13,4.15,4.5,4.9,6.0,11.3,14.5,18.7,19.0,22.4,25.8
16,Burkina Faso,0,0.0,0.0,0.0,0,0.00096,0.0187,0.0454,0.0618,0.0771,0.158,0.201,0.373,0.4,0.47,0.633,0.75,0.92,1.13,2.4,3.0,3.73,5.0,6.0,8.0,12.0,16.8,17.4,18.0,22.0
17,Bangladesh,0,0.0,0.0,0.0,0,,0.00075,0.00368,0.0362,0.071,0.13,0.14,0.164,0.199,0.242,1.0,1.8,2.5,3.1,3.7,4.5,5.0,6.63,11.9,12.9,18.1,19.8,21.8,23.8,24.8
18,Bulgaria,0,0.0,0.00234,0.0195,0.12,0.725,1.22,1.84,2.91,5.37,7.61,9.08,12.0,18.1,20.0,27.1,33.6,39.7,45.0,46.2,48.0,51.9,53.1,55.5,56.7,59.8,63.4,64.8,67.9,70.2
19,Bahrain,0,0.0,0.0,0.0,0.346,0.843,1.65,3.22,4.72,6.15,15.0,18.1,21.6,21.5,21.3,28.2,32.9,52.0,53.0,55.0,77.0,88.0,90.0,90.5,93.5,98.0,95.9,98.6,99.7,99.7
20,Bahamas,0,0.0,0.0,0.0,0.96,1.75,1.36,2.34,3.76,8.0,11.8,18.0,20.0,22.0,25.0,26.0,27.0,31.5,33.9,43.0,65.0,71.7,72.0,76.9,78.0,80.0,80.6,83.0,85.0,87.0
21,Bosnia and Herzegovina,0,0.0,0.0,0.0,0,0.0151,0.0594,0.144,0.194,1.08,1.2,2.65,3.97,15.5,21.3,25.1,27.9,34.7,37.7,42.8,43.9,45.1,48.5,49.9,52.6,60.3,64.9,70.1,69.9,73.2
22,Belarus,0,0.0,0.0,0.00049,0.00292,0.0293,0.049,0.0739,0.495,1.86,4.3,8.95,,,,16.2,19.7,23.0,27.4,31.8,39.6,46.9,54.2,59.0,62.2,71.1,74.4,79.1,82.8,85.1
23,Belize,0,0.0,0.0,0.0,0.0454,0.883,1.29,2.09,4.08,5.96,,5.68,,9.8,17.0,24.0,24.6,26.3,27.2,28.2,30.7,31.0,33.6,38.7,41.6,44.6,47.1,49.8,50.8,
24,Bermuda,0,0.0,0.0,0.0,6.84,16.2,24.2,32.1,39.9,42.9,47.5,52.0,56.5,61.0,65.4,69.9,74.4,82.3,83.3,84.2,88.3,91.3,95.3,96.8,98.3,98.0,98.4,,,
25,Bolivia,0,0.0,0.0,0.0,0.0668,0.196,0.448,0.626,0.982,1.44,2.12,3.12,3.51,4.44,5.23,6.2,10.5,12.5,16.8,22.4,30.0,35.3,37.0,34.6,37.5,39.7,43.8,44.3,47.5,59.9
26,Brazil,0.00329,0.0129,0.0255,0.0377,0.105,0.451,0.786,1.48,2.04,2.87,4.53,9.15,13.2,19.1,21.0,28.2,30.9,33.8,39.2,40.6,45.7,48.6,51.0,54.6,58.3,60.9,67.5,70.4,73.9,81.3
27,Barbados,0,0.0,0.0,0.0,0.00775,0.389,0.783,1.97,2.38,3.97,11.9,27.8,39.7,49.8,52.5,55.3,58.2,61.4,64.7,65.1,66.5,71.2,71.8,75.2,76.1,79.5,81.8,,,
28,Brunei,0,0.0,0.0,0.0,1.02,3.3,4.83,6.28,7.67,9.0,12.9,15.3,19.6,29.7,36.5,42.2,44.7,46.0,49.0,53.0,56.0,60.3,64.5,68.8,71.2,90.0,94.9,95.0,95.0,95.0
29,Bhutan,0,0.0,0.0,0.0,0,,,,0.138,0.401,0.865,1.68,2.44,3.16,3.85,4.52,5.92,6.55,7.17,13.6,14.4,15.6,22.4,30.3,39.8,41.8,46.2,49.5,53.5,53.5
30,Botswana,0,0.0,0.0,0.0,0.0645,0.157,0.308,0.602,1.12,2.9,3.43,3.39,3.35,3.3,3.26,4.29,5.28,6.25,6.15,6.0,9.0,16.0,30.0,36.7,37.3,39.4,41.4,58.0,61.0,64.0
31,Central African Republic,0,0.0,0.0,0.0,0,0.00585,0.0143,0.0279,0.0409,0.0534,0.0785,0.129,0.152,0.223,0.268,0.311,0.376,1.0,1.8,2.0,2.2,2.4,2.5,2.7,2.9,3.1,4.0,5.1,8.3,10.4
32,Canada,0.57,0.916,1.18,2.38,4.16,6.76,15.1,24.9,36.2,51.3,60.2,61.6,64.2,66.0,71.7,72.4,73.2,76.7,80.3,80.3,83.0,83.0,85.8,87.1,90.0,91.2,92.7,94.6,96.5,97.0
33,Switzerland,1.18,1.75,2.17,2.72,3.55,4.55,15.1,24.8,34.0,47.1,55.1,61.4,65.1,67.8,70.1,75.7,77.2,79.2,81.3,83.9,85.2,85.2,86.3,87.4,87.5,89.1,89.7,91.8,93.1,94.2
34,Chile,0,0.0365,0.0718,0.141,0.347,0.683,1.06,1.66,4.1,16.6,19.1,22.1,25.5,28.2,31.2,34.5,35.9,37.3,41.6,45.0,52.2,55.0,58.0,61.1,76.6,83.6,82.3,84.9,86.1,88.3
35,China,0,0.0,0.00017,0.00117,0.00495,0.0131,0.0324,0.169,0.708,1.78,2.64,4.6,6.2,7.3,8.52,10.5,16.0,22.6,28.9,34.3,38.3,42.3,45.8,47.9,50.3,53.2,54.3,59.2,64.1,70.4
36,Cote d'Ivoire,0,0.0,0.0,0.0,0.0002,0.00841,0.0188,0.061,0.119,0.231,0.396,0.498,0.759,0.849,1.04,1.52,1.8,1.9,2.0,2.7,2.9,4.4,6.6,10.0,16.7,25.3,34.8,37.5,36.3,
37,Cameroon,0,0.0,0.0,0.0,0,,0.00677,0.0132,0.129,0.252,0.277,0.361,0.588,0.976,1.4,2.03,2.93,3.4,3.84,4.3,5.0,7.5,10.0,16.2,18.3,20.6,23.2,29.7,33.5,37.8
38,"Congo, Dem. Rep.",0,0.0,0.0,0.0,0,0.00011,0.00021,0.00041,0.00101,0.0059,0.0115,0.0928,0.135,0.196,0.238,0.296,0.37,0.44,0.56,0.72,1.2,1.68,2.2,3.0,3.8,6.21,8.62,11.7,12.5,13.6
39,"Congo, Rep.",0,0.0,0.0,0.0,0,0.00353,0.00347,0.00342,0.0168,0.0263,0.0322,0.157,0.46,1.08,1.46,2.01,2.76,4.29,4.5,5.0,5.6,6.11,6.6,7.11,7.62,8.12,8.65,,,
40,Colombia,0,0.0,0.0,0.107,0.188,0.33,0.551,1.13,1.7,2.21,2.85,4.6,7.39,9.12,11.0,15.3,21.8,25.6,30.0,36.5,40.4,49.0,51.7,52.6,55.9,58.1,62.3,64.1,65.0,69.8
